"Year","SuperSector","SectorName","Industry","IndustryName","NAICSCode","Value"
1939,"00","Total nonfarm","00000000","Total nonfarm","-",30645
1940,"00","Total nonfarm","00000000","Total nonfarm","-",32407
1941,"00","Total nonfarm","00000000","Total nonfarm","-",36600
1942,"00","Total nonfarm","00000000","Total nonfarm","-",40213
1943,"00","Total nonfarm","00000000","Total nonfarm","-",42574
1944,"00","Total nonfarm","00000000","Total nonfarm","-",42006
1945,"00","Total nonfarm","00000000","Total nonfarm","-",40510
1946,"00","Total nonfarm","00000000","Total nonfarm","-",41759
1947,"00","Total nonfarm","00000000","Total nonfarm","-",43945
1948,"00","Total nonfarm","00000000","Total nonfarm","-",44954
1949,"00","Total nonfarm","00000000","Total nonfarm","-",43843
1950,"00","Total nonfarm","00000000","Total nonfarm","-",45287
1951,"00","Total nonfarm","00000000","Total nonfarm","-",47930
1952,"00","Total nonfarm","00000000","Total nonfarm","-",48909
1953,"00","Total nonfarm","00000000","Total nonfarm","-",50310
1954,"00","Total nonfarm","00000000","Total nonfarm","-",49093
1955,"00","Total nonfarm","00000000","Total nonfarm","-",50744
1956,"00","Total nonfarm","00000000","Total nonfarm","-",52473
1957,"00","Total nonfarm","00000000","Total nonfarm","-",52959
1958,"00","Total nonfarm","00000000","Total nonfarm","-",51426
1959,"00","Total nonfarm","00000000","Total nonfarm","-",53374
1960,"00","Total nonfarm","00000000","Total nonfarm","-",54296
1961,"00","Total nonfarm","00000000","Total nonfarm","-",54105
1962,"00","Total nonfarm","00000000","Total nonfarm","-",55659
1963,"00","Total nonfarm","00000000","Total nonfarm","-",56764
1964,"00","Total nonfarm","00000000","Total nonfarm","-",58391
1965,"00","Total nonfarm","00000000","Total nonfarm","-",60874
1966,"00","Total nonfarm","00000000","Total nonfarm","-",64020
1967,"00","Total nonfarm","00000000","Total nonfarm","-",65931
1968,"00","Total nonfarm","00000000","Total nonfarm","-",68023
1969,"00","Total nonfarm","00000000","Total nonfarm","-",70512
1970,"00","Total nonfarm","00000000","Total nonfarm","-",71006
1971,"00","Total nonfarm","00000000","Total nonfarm","-",71335
1972,"00","Total nonfarm","00000000","Total nonfarm","-",73798
1973,"00","Total nonfarm","00000000","Total nonfarm","-",76912
1974,"00","Total nonfarm","00000000","Total nonfarm","-",78389
1975,"00","Total nonfarm","00000000","Total nonfarm","-",77069
1976,"00","Total nonfarm","00000000","Total nonfarm","-",79502
1977,"00","Total nonfarm","00000000","Total nonfarm","-",82593
1978,"00","Total nonfarm","00000000","Total nonfarm","-",86826
1979,"00","Total nonfarm","00000000","Total nonfarm","-",89933
1980,"00","Total nonfarm","00000000","Total nonfarm","-",90533
1981,"00","Total nonfarm","00000000","Total nonfarm","-",91297
1982,"00","Total nonfarm","00000000","Total nonfarm","-",89689
1983,"00","Total nonfarm","00000000","Total nonfarm","-",90295
1984,"00","Total nonfarm","00000000","Total nonfarm","-",94548
1985,"00","Total nonfarm","00000000","Total nonfarm","-",97532
1986,"00","Total nonfarm","00000000","Total nonfarm","-",99500
1987,"00","Total nonfarm","00000000","Total nonfarm","-",102116
1988,"00","Total nonfarm","00000000","Total nonfarm","-",105378
1989,"00","Total nonfarm","00000000","Total nonfarm","-",108051
1990,"00","Total nonfarm","00000000","Total nonfarm","-",109527
1991,"00","Total nonfarm","00000000","Total nonfarm","-",108427
1992,"00","Total nonfarm","00000000","Total nonfarm","-",108802
1993,"00","Total nonfarm","00000000","Total nonfarm","-",110935
1994,"00","Total nonfarm","00000000","Total nonfarm","-",114398
1995,"00","Total nonfarm","00000000","Total nonfarm","-",117407
1996,"00","Total nonfarm","00000000","Total nonfarm","-",119836
1997,"00","Total nonfarm","00000000","Total nonfarm","-",122951
1998,"00","Total nonfarm","00000000","Total nonfarm","-",126157
1999,"00","Total nonfarm","00000000","Total nonfarm","-",129240
2000,"00","Total nonfarm","00000000","Total nonfarm","-",132024
2001,"00","Total nonfarm","00000000","Total nonfarm","-",132087
2002,"00","Total nonfarm","00000000","Total nonfarm","-",130649
2003,"00","Total nonfarm","00000000","Total nonfarm","-",130347
2004,"00","Total nonfarm","00000000","Total nonfarm","-",131787
2005,"00","Total nonfarm","00000000","Total nonfarm","-",134051
2006,"00","Total nonfarm","00000000","Total nonfarm","-",136453
2007,"00","Total nonfarm","00000000","Total nonfarm","-",137999
2008,"00","Total nonfarm","00000000","Total nonfarm","-",137242
2009,"00","Total nonfarm","00000000","Total nonfarm","-",131313
2010,"00","Total nonfarm","00000000","Total nonfarm","-",130361
2011,"00","Total nonfarm","00000000","Total nonfarm","-",131932
2012,"00","Total nonfarm","00000000","Total nonfarm","-",134175
2013,"00","Total nonfarm","00000000","Total nonfarm","-",136381
2014,"00","Total nonfarm","00000000","Total nonfarm","-",138958
2015,"00","Total nonfarm","00000000","Total nonfarm","-",141843
2016,"00","Total nonfarm","00000000","Total nonfarm","-",144306
1939,"05","Total private","05000000","Total private","-",26606
1940,"05","Total private","05000000","Total private","-",28156
1941,"05","Total private","05000000","Total private","-",31874
1942,"05","Total private","05000000","Total private","-",34621
1943,"05","Total private","05000000","Total private","-",36353
1944,"05","Total private","05000000","Total private","-",35819
1945,"05","Total private","05000000","Total private","-",34428
1946,"05","Total private","05000000","Total private","-",36054
1947,"05","Total private","05000000","Total private","-",38379
1948,"05","Total private","05000000","Total private","-",39213
1949,"05","Total private","05000000","Total private","-",37893
1950,"05","Total private","05000000","Total private","-",39167
1951,"05","Total private","05000000","Total private","-",41427
1952,"05","Total private","05000000","Total private","-",42182
1953,"05","Total private","05000000","Total private","-",43552
1954,"05","Total private","05000000","Total private","-",42235
1955,"05","Total private","05000000","Total private","-",43722
1956,"05","Total private","05000000","Total private","-",45087
1957,"05","Total private","05000000","Total private","-",45235
1958,"05","Total private","05000000","Total private","-",43480
1959,"05","Total private","05000000","Total private","-",45182
1960,"05","Total private","05000000","Total private","-",45832
1961,"05","Total private","05000000","Total private","-",45399
1962,"05","Total private","05000000","Total private","-",46655
1963,"05","Total private","05000000","Total private","-",47423
1964,"05","Total private","05000000","Total private","-",48680
1965,"05","Total private","05000000","Total private","-",50683
1966,"05","Total private","05000000","Total private","-",53110
1967,"05","Total private","05000000","Total private","-",54406
1968,"05","Total private","05000000","Total private","-",56050
1969,"05","Total private","05000000","Total private","-",58181
1970,"05","Total private","05000000","Total private","-",58318
1971,"05","Total private","05000000","Total private","-",58323
1972,"05","Total private","05000000","Total private","-",60333
1973,"05","Total private","05000000","Total private","-",63050
1974,"05","Total private","05000000","Total private","-",64086
1975,"05","Total private","05000000","Total private","-",62250
1976,"05","Total private","05000000","Total private","-",64501
1977,"05","Total private","05000000","Total private","-",67334
1978,"05","Total private","05000000","Total private","-",71014
1979,"05","Total private","05000000","Total private","-",73865
1980,"05","Total private","05000000","Total private","-",74158
1981,"05","Total private","05000000","Total private","-",75117
1982,"05","Total private","05000000","Total private","-",73706
1983,"05","Total private","05000000","Total private","-",74284
1984,"05","Total private","05000000","Total private","-",78389
1985,"05","Total private","05000000","Total private","-",81000
1986,"05","Total private","05000000","Total private","-",82661
1987,"05","Total private","05000000","Total private","-",84960
1988,"05","Total private","05000000","Total private","-",87838
1989,"05","Total private","05000000","Total private","-",90124
1990,"05","Total private","05000000","Total private","-",91112
1991,"05","Total private","05000000","Total private","-",89881
1992,"05","Total private","05000000","Total private","-",90015
1993,"05","Total private","05000000","Total private","-",91946
1994,"05","Total private","05000000","Total private","-",95124
1995,"05","Total private","05000000","Total private","-",97975
1996,"05","Total private","05000000","Total private","-",100297
1997,"05","Total private","05000000","Total private","-",103287
1998,"05","Total private","05000000","Total private","-",106248
1999,"05","Total private","05000000","Total private","-",108933
2000,"05","Total private","05000000","Total private","-",111235
2001,"05","Total private","05000000","Total private","-",110969
2002,"05","Total private","05000000","Total private","-",109136
2003,"05","Total private","05000000","Total private","-",108764
2004,"05","Total private","05000000","Total private","-",110166
2005,"05","Total private","05000000","Total private","-",112247
2006,"05","Total private","05000000","Total private","-",114479
2007,"05","Total private","05000000","Total private","-",115781
2008,"05","Total private","05000000","Total private","-",114732
2009,"05","Total private","05000000","Total private","-",108758
2010,"05","Total private","05000000","Total private","-",107871
2011,"05","Total private","05000000","Total private","-",109845
2012,"05","Total private","05000000","Total private","-",112255
2013,"05","Total private","05000000","Total private","-",114529
2014,"05","Total private","05000000","Total private","-",117076
2015,"05","Total private","05000000","Total private","-",119814
2016,"05","Total private","05000000","Total private","-",122083
1939,"06","Goods-producing","06000000","Goods-producing","-",11511
1940,"06","Goods-producing","06000000","Goods-producing","-",12378
1941,"06","Goods-producing","06000000","Goods-producing","-",14940
1942,"06","Goods-producing","06000000","Goods-producing","-",17275
1943,"06","Goods-producing","06000000","Goods-producing","-",18738
1944,"06","Goods-producing","06000000","Goods-producing","-",17981
1945,"06","Goods-producing","06000000","Goods-producing","-",16308
1946,"06","Goods-producing","06000000","Goods-producing","-",16122
1947,"06","Goods-producing","06000000","Goods-producing","-",17314
1948,"06","Goods-producing","06000000","Goods-producing","-",17579
1949,"06","Goods-producing","06000000","Goods-producing","-",16464
1950,"06","Goods-producing","06000000","Goods-producing","-",17343
1951,"06","Goods-producing","06000000","Goods-producing","-",18703
1952,"06","Goods-producing","06000000","Goods-producing","-",18928
1953,"06","Goods-producing","06000000","Goods-producing","-",19733
1954,"06","Goods-producing","06000000","Goods-producing","-",18515
1955,"06","Goods-producing","06000000","Goods-producing","-",19234
1956,"06","Goods-producing","06000000","Goods-producing","-",19799
1957,"06","Goods-producing","06000000","Goods-producing","-",19669
1958,"06","Goods-producing","06000000","Goods-producing","-",18319
1959,"06","Goods-producing","06000000","Goods-producing","-",19163
1960,"06","Goods-producing","06000000","Goods-producing","-",19182
1961,"06","Goods-producing","06000000","Goods-producing","-",18647
1962,"06","Goods-producing","06000000","Goods-producing","-",19203
1963,"06","Goods-producing","06000000","Goods-producing","-",19385
1964,"06","Goods-producing","06000000","Goods-producing","-",19733
1965,"06","Goods-producing","06000000","Goods-producing","-",20595
1966,"06","Goods-producing","06000000","Goods-producing","-",21740
1967,"06","Goods-producing","06000000","Goods-producing","-",21882
1968,"06","Goods-producing","06000000","Goods-producing","-",22292
1969,"06","Goods-producing","06000000","Goods-producing","-",22893
1970,"06","Goods-producing","06000000","Goods-producing","-",22179
1971,"06","Goods-producing","06000000","Goods-producing","-",21602
1972,"06","Goods-producing","06000000","Goods-producing","-",22299
1973,"06","Goods-producing","06000000","Goods-producing","-",23450
1974,"06","Goods-producing","06000000","Goods-producing","-",23364
1975,"06","Goods-producing","06000000","Goods-producing","-",21318
1976,"06","Goods-producing","06000000","Goods-producing","-",22025
1977,"06","Goods-producing","06000000","Goods-producing","-",22972
1978,"06","Goods-producing","06000000","Goods-producing","-",24156
1979,"06","Goods-producing","06000000","Goods-producing","-",24997
1980,"06","Goods-producing","06000000","Goods-producing","-",24263
1981,"06","Goods-producing","06000000","Goods-producing","-",24118
1982,"06","Goods-producing","06000000","Goods-producing","-",22550
1983,"06","Goods-producing","06000000","Goods-producing","-",22110
1984,"06","Goods-producing","06000000","Goods-producing","-",23435
1985,"06","Goods-producing","06000000","Goods-producing","-",23585
1986,"06","Goods-producing","06000000","Goods-producing","-",23318
1987,"06","Goods-producing","06000000","Goods-producing","-",23470
1988,"06","Goods-producing","06000000","Goods-producing","-",23909
1989,"06","Goods-producing","06000000","Goods-producing","-",24045
1990,"06","Goods-producing","06000000","Goods-producing","-",23723
1991,"06","Goods-producing","06000000","Goods-producing","-",22588
1992,"06","Goods-producing","06000000","Goods-producing","-",22095
1993,"06","Goods-producing","06000000","Goods-producing","-",22219
1994,"06","Goods-producing","06000000","Goods-producing","-",22774
1995,"06","Goods-producing","06000000","Goods-producing","-",23156
1996,"06","Goods-producing","06000000","Goods-producing","-",23409
1997,"06","Goods-producing","06000000","Goods-producing","-",23886
1998,"06","Goods-producing","06000000","Goods-producing","-",24354
1999,"06","Goods-producing","06000000","Goods-producing","-",24465
2000,"06","Goods-producing","06000000","Goods-producing","-",24649
2001,"06","Goods-producing","06000000","Goods-producing","-",23873
2002,"06","Goods-producing","06000000","Goods-producing","-",22557
2003,"06","Goods-producing","06000000","Goods-producing","-",21816
2004,"06","Goods-producing","06000000","Goods-producing","-",21882
2005,"06","Goods-producing","06000000","Goods-producing","-",22190
2006,"06","Goods-producing","06000000","Goods-producing","-",22530
2007,"06","Goods-producing","06000000","Goods-producing","-",22233
2008,"06","Goods-producing","06000000","Goods-producing","-",21335
2009,"06","Goods-producing","06000000","Goods-producing","-",18558
2010,"06","Goods-producing","06000000","Goods-producing","-",17751
2011,"06","Goods-producing","06000000","Goods-producing","-",18047
2012,"06","Goods-producing","06000000","Goods-producing","-",18420
2013,"06","Goods-producing","06000000","Goods-producing","-",18738
2014,"06","Goods-producing","06000000","Goods-producing","-",19226
2015,"06","Goods-producing","06000000","Goods-producing","-",19610
2016,"06","Goods-producing","06000000","Goods-producing","-",19736
1939,"07","Service-providing","07000000","Service-providing","-",19134
1940,"07","Service-providing","07000000","Service-providing","-",20029
1941,"07","Service-providing","07000000","Service-providing","-",21660
1942,"07","Service-providing","07000000","Service-providing","-",22938
1943,"07","Service-providing","07000000","Service-providing","-",23837
1944,"07","Service-providing","07000000","Service-providing","-",24026
1945,"07","Service-providing","07000000","Service-providing","-",24203
1946,"07","Service-providing","07000000","Service-providing","-",25637
1947,"07","Service-providing","07000000","Service-providing","-",26631
1948,"07","Service-providing","07000000","Service-providing","-",27376
1949,"07","Service-providing","07000000","Service-providing","-",27379
1950,"07","Service-providing","07000000","Service-providing","-",27945
1951,"07","Service-providing","07000000","Service-providing","-",29227
1952,"07","Service-providing","07000000","Service-providing","-",29981
1953,"07","Service-providing","07000000","Service-providing","-",30577
1954,"07","Service-providing","07000000","Service-providing","-",30578
1955,"07","Service-providing","07000000","Service-providing","-",31510
1956,"07","Service-providing","07000000","Service-providing","-",32674
1957,"07","Service-providing","07000000","Service-providing","-",33290
1958,"07","Service-providing","07000000","Service-providing","-",33107
1959,"07","Service-providing","07000000","Service-providing","-",34211
1960,"07","Service-providing","07000000","Service-providing","-",35114
1961,"07","Service-providing","07000000","Service-providing","-",35458
1962,"07","Service-providing","07000000","Service-providing","-",36455
1963,"07","Service-providing","07000000","Service-providing","-",37379
1964,"07","Service-providing","07000000","Service-providing","-",38658
1965,"07","Service-providing","07000000","Service-providing","-",40279
1966,"07","Service-providing","07000000","Service-providing","-",42280
1967,"07","Service-providing","07000000","Service-providing","-",44049
1968,"07","Service-providing","07000000","Service-providing","-",45731
1969,"07","Service-providing","07000000","Service-providing","-",47619
1970,"07","Service-providing","07000000","Service-providing","-",48827
1971,"07","Service-providing","07000000","Service-providing","-",49734
1972,"07","Service-providing","07000000","Service-providing","-",51499
1973,"07","Service-providing","07000000","Service-providing","-",53462
1974,"07","Service-providing","07000000","Service-providing","-",55025
1975,"07","Service-providing","07000000","Service-providing","-",55751
1976,"07","Service-providing","07000000","Service-providing","-",57477
1977,"07","Service-providing","07000000","Service-providing","-",59620
1978,"07","Service-providing","07000000","Service-providing","-",62670
1979,"07","Service-providing","07000000","Service-providing","-",64936
1980,"07","Service-providing","07000000","Service-providing","-",66270
1981,"07","Service-providing","07000000","Service-providing","-",67179
1982,"07","Service-providing","07000000","Service-providing","-",67138
1983,"07","Service-providing","07000000","Service-providing","-",68186
1984,"07","Service-providing","07000000","Service-providing","-",71113
1985,"07","Service-providing","07000000","Service-providing","-",73947
1986,"07","Service-providing","07000000","Service-providing","-",76182
1987,"07","Service-providing","07000000","Service-providing","-",78647
1988,"07","Service-providing","07000000","Service-providing","-",81469
1989,"07","Service-providing","07000000","Service-providing","-",84006
1990,"07","Service-providing","07000000","Service-providing","-",85804
1991,"07","Service-providing","07000000","Service-providing","-",85839
1992,"07","Service-providing","07000000","Service-providing","-",86707
1993,"07","Service-providing","07000000","Service-providing","-",88716
1994,"07","Service-providing","07000000","Service-providing","-",91624
1995,"07","Service-providing","07000000","Service-providing","-",94251
1996,"07","Service-providing","07000000","Service-providing","-",96427
1997,"07","Service-providing","07000000","Service-providing","-",99065
1998,"07","Service-providing","07000000","Service-providing","-",101803
1999,"07","Service-providing","07000000","Service-providing","-",104775
2000,"07","Service-providing","07000000","Service-providing","-",107375
2001,"07","Service-providing","07000000","Service-providing","-",108214
2002,"07","Service-providing","07000000","Service-providing","-",108092
2003,"07","Service-providing","07000000","Service-providing","-",108531
2004,"07","Service-providing","07000000","Service-providing","-",109905
2005,"07","Service-providing","07000000","Service-providing","-",111861
2006,"07","Service-providing","07000000","Service-providing","-",113922
2007,"07","Service-providing","07000000","Service-providing","-",115767
2008,"07","Service-providing","07000000","Service-providing","-",115907
2009,"07","Service-providing","07000000","Service-providing","-",112755
2010,"07","Service-providing","07000000","Service-providing","-",112610
2011,"07","Service-providing","07000000","Service-providing","-",113884
2012,"07","Service-providing","07000000","Service-providing","-",115755
2013,"07","Service-providing","07000000","Service-providing","-",117643
2014,"07","Service-providing","07000000","Service-providing","-",119732
2015,"07","Service-providing","07000000","Service-providing","-",122233
2016,"07","Service-providing","07000000","Service-providing","-",124569
1939,"08","Private service-providing","08000000","Private service-providing","-",15094
1940,"08","Private service-providing","08000000","Private service-providing","-",15778
1941,"08","Private service-providing","08000000","Private service-providing","-",16934
1942,"08","Private service-providing","08000000","Private service-providing","-",17347
1943,"08","Private service-providing","08000000","Private service-providing","-",17615
1944,"08","Private service-providing","08000000","Private service-providing","-",17839
1945,"08","Private service-providing","08000000","Private service-providing","-",18121
1946,"08","Private service-providing","08000000","Private service-providing","-",19932
1947,"08","Private service-providing","08000000","Private service-providing","-",21064
1948,"08","Private service-providing","08000000","Private service-providing","-",21634
1949,"08","Private service-providing","08000000","Private service-providing","-",21430
1950,"08","Private service-providing","08000000","Private service-providing","-",21824
1951,"08","Private service-providing","08000000","Private service-providing","-",22725
1952,"08","Private service-providing","08000000","Private service-providing","-",23254
1953,"08","Private service-providing","08000000","Private service-providing","-",23820
1954,"08","Private service-providing","08000000","Private service-providing","-",23720
1955,"08","Private service-providing","08000000","Private service-providing","-",24489
1956,"08","Private service-providing","08000000","Private service-providing","-",25288
1957,"08","Private service-providing","08000000","Private service-providing","-",25566
1958,"08","Private service-providing","08000000","Private service-providing","-",25161
1959,"08","Private service-providing","08000000","Private service-providing","-",26018
1960,"08","Private service-providing","08000000","Private service-providing","-",26650
1961,"08","Private service-providing","08000000","Private service-providing","-",26752
1962,"08","Private service-providing","08000000","Private service-providing","-",27451
1963,"08","Private service-providing","08000000","Private service-providing","-",28038
1964,"08","Private service-providing","08000000","Private service-providing","-",28947
1965,"08","Private service-providing","08000000","Private service-providing","-",30089
1966,"08","Private service-providing","08000000","Private service-providing","-",31370
1967,"08","Private service-providing","08000000","Private service-providing","-",32524
1968,"08","Private service-providing","08000000","Private service-providing","-",33759
1969,"08","Private service-providing","08000000","Private service-providing","-",35288
1970,"08","Private service-providing","08000000","Private service-providing","-",36139
1971,"08","Private service-providing","08000000","Private service-providing","-",36721
1972,"08","Private service-providing","08000000","Private service-providing","-",38034
1973,"08","Private service-providing","08000000","Private service-providing","-",39600
1974,"08","Private service-providing","08000000","Private service-providing","-",40721
1975,"08","Private service-providing","08000000","Private service-providing","-",40932
1976,"08","Private service-providing","08000000","Private service-providing","-",42476
1977,"08","Private service-providing","08000000","Private service-providing","-",44362
1978,"08","Private service-providing","08000000","Private service-providing","-",46858
1979,"08","Private service-providing","08000000","Private service-providing","-",48869
1980,"08","Private service-providing","08000000","Private service-providing","-",49895
1981,"08","Private service-providing","08000000","Private service-providing","-",50999
1982,"08","Private service-providing","08000000","Private service-providing","-",51156
1983,"08","Private service-providing","08000000","Private service-providing","-",52174
1984,"08","Private service-providing","08000000","Private service-providing","-",54954
1985,"08","Private service-providing","08000000","Private service-providing","-",57415
1986,"08","Private service-providing","08000000","Private service-providing","-",59343
1987,"08","Private service-providing","08000000","Private service-providing","-",61490
1988,"08","Private service-providing","08000000","Private service-providing","-",63929
1989,"08","Private service-providing","08000000","Private service-providing","-",66079
1990,"08","Private service-providing","08000000","Private service-providing","-",67389
1991,"08","Private service-providing","08000000","Private service-providing","-",67293
1992,"08","Private service-providing","08000000","Private service-providing","-",67921
1993,"08","Private service-providing","08000000","Private service-providing","-",69727
1994,"08","Private service-providing","08000000","Private service-providing","-",72350
1995,"08","Private service-providing","08000000","Private service-providing","-",74819
1996,"08","Private service-providing","08000000","Private service-providing","-",76888
1997,"08","Private service-providing","08000000","Private service-providing","-",79401
1998,"08","Private service-providing","08000000","Private service-providing","-",81894
1999,"08","Private service-providing","08000000","Private service-providing","-",84468
2000,"08","Private service-providing","08000000","Private service-providing","-",86585
2001,"08","Private service-providing","08000000","Private service-providing","-",87096
2002,"08","Private service-providing","08000000","Private service-providing","-",86579
2003,"08","Private service-providing","08000000","Private service-providing","-",86948
2004,"08","Private service-providing","08000000","Private service-providing","-",88284
2005,"08","Private service-providing","08000000","Private service-providing","-",90057
2006,"08","Private service-providing","08000000","Private service-providing","-",91949
2007,"08","Private service-providing","08000000","Private service-providing","-",93548
2008,"08","Private service-providing","08000000","Private service-providing","-",93398
2009,"08","Private service-providing","08000000","Private service-providing","-",90201
2010,"08","Private service-providing","08000000","Private service-providing","-",90120
2011,"08","Private service-providing","08000000","Private service-providing","-",91798
2012,"08","Private service-providing","08000000","Private service-providing","-",93834
2013,"08","Private service-providing","08000000","Private service-providing","-",95791
2014,"08","Private service-providing","08000000","Private service-providing","-",97850
2015,"08","Private service-providing","08000000","Private service-providing","-",100204
2016,"08","Private service-providing","08000000","Private service-providing","-",102346
1939,"10","Mining and logging","10000000","Mining and logging","-",856
1940,"10","Mining and logging","10000000","Mining and logging","-",927
1941,"10","Mining and logging","10000000","Mining and logging","-",967
1942,"10","Mining and logging","10000000","Mining and logging","-",1010
1943,"10","Mining and logging","10000000","Mining and logging","-",958
1944,"10","Mining and logging","10000000","Mining and logging","-",926
1945,"10","Mining and logging","10000000","Mining and logging","-",864
1946,"10","Mining and logging","10000000","Mining and logging","-",885
1947,"10","Mining and logging","10000000","Mining and logging","-",976
1948,"10","Mining and logging","10000000","Mining and logging","-",1014
1949,"10","Mining and logging","10000000","Mining and logging","-",948
1950,"10","Mining and logging","10000000","Mining and logging","-",924
1951,"10","Mining and logging","10000000","Mining and logging","-",956
1952,"10","Mining and logging","10000000","Mining and logging","-",928
1953,"10","Mining and logging","10000000","Mining and logging","-",902
1954,"10","Mining and logging","10000000","Mining and logging","-",825
1955,"10","Mining and logging","10000000","Mining and logging","-",828
1956,"10","Mining and logging","10000000","Mining and logging","-",859
1957,"10","Mining and logging","10000000","Mining and logging","-",864
1958,"10","Mining and logging","10000000","Mining and logging","-",801
1959,"10","Mining and logging","10000000","Mining and logging","-",789
1960,"10","Mining and logging","10000000","Mining and logging","-",771
1961,"10","Mining and logging","10000000","Mining and logging","-",728
1962,"10","Mining and logging","10000000","Mining and logging","-",709
1963,"10","Mining and logging","10000000","Mining and logging","-",694
1964,"10","Mining and logging","10000000","Mining and logging","-",697
1965,"10","Mining and logging","10000000","Mining and logging","-",694
1966,"10","Mining and logging","10000000","Mining and logging","-",690
1967,"10","Mining and logging","10000000","Mining and logging","-",679
1968,"10","Mining and logging","10000000","Mining and logging","-",671
1969,"10","Mining and logging","10000000","Mining and logging","-",683
1970,"10","Mining and logging","10000000","Mining and logging","-",677
1971,"10","Mining and logging","10000000","Mining and logging","-",658
1972,"10","Mining and logging","10000000","Mining and logging","-",672
1973,"10","Mining and logging","10000000","Mining and logging","-",693
1974,"10","Mining and logging","10000000","Mining and logging","-",755
1975,"10","Mining and logging","10000000","Mining and logging","-",802
1976,"10","Mining and logging","10000000","Mining and logging","-",832
1977,"10","Mining and logging","10000000","Mining and logging","-",865
1978,"10","Mining and logging","10000000","Mining and logging","-",902
1979,"10","Mining and logging","10000000","Mining and logging","-",1008
1980,"10","Mining and logging","10000000","Mining and logging","-",1077
1981,"10","Mining and logging","10000000","Mining and logging","-",1180
1982,"10","Mining and logging","10000000","Mining and logging","-",1163
1983,"10","Mining and logging","10000000","Mining and logging","-",997
1984,"10","Mining and logging","10000000","Mining and logging","-",1014
1985,"10","Mining and logging","10000000","Mining and logging","-",974
1986,"10","Mining and logging","10000000","Mining and logging","-",829
1987,"10","Mining and logging","10000000","Mining and logging","-",771
1988,"10","Mining and logging","10000000","Mining and logging","-",770
1989,"10","Mining and logging","10000000","Mining and logging","-",750
1990,"10","Mining and logging","10000000","Mining and logging","-",765
1991,"10","Mining and logging","10000000","Mining and logging","-",739
1992,"10","Mining and logging","10000000","Mining and logging","-",689
1993,"10","Mining and logging","10000000","Mining and logging","-",666
1994,"10","Mining and logging","10000000","Mining and logging","-",659
1995,"10","Mining and logging","10000000","Mining and logging","-",641
1996,"10","Mining and logging","10000000","Mining and logging","-",637
1997,"10","Mining and logging","10000000","Mining and logging","-",654
1998,"10","Mining and logging","10000000","Mining and logging","-",645
1999,"10","Mining and logging","10000000","Mining and logging","-",598
2000,"10","Mining and logging","10000000","Mining and logging","-",599
2001,"10","Mining and logging","10000000","Mining and logging","-",606
2002,"10","Mining and logging","10000000","Mining and logging","-",583
2003,"10","Mining and logging","10000000","Mining and logging","-",572
2004,"10","Mining and logging","10000000","Mining and logging","-",591
2005,"10","Mining and logging","10000000","Mining and logging","-",628
2006,"10","Mining and logging","10000000","Mining and logging","-",684
2007,"10","Mining and logging","10000000","Mining and logging","-",724
2008,"10","Mining and logging","10000000","Mining and logging","-",767
2009,"10","Mining and logging","10000000","Mining and logging","-",694
2010,"10","Mining and logging","10000000","Mining and logging","-",705
2011,"10","Mining and logging","10000000","Mining and logging","-",788
2012,"10","Mining and logging","10000000","Mining and logging","-",848
2013,"10","Mining and logging","10000000","Mining and logging","-",863
2014,"10","Mining and logging","10000000","Mining and logging","-",891
2015,"10","Mining and logging","10000000","Mining and logging","-",813
2016,"10","Mining and logging","10000000","Mining and logging","-",677
1947,"10","Mining and logging","10113300","Logging","1133",92.5
1948,"10","Mining and logging","10113300","Logging","1133",86.7
1949,"10","Mining and logging","10113300","Logging","1133",78.5
1950,"10","Mining and logging","10113300","Logging","1133",91.5
1951,"10","Mining and logging","10113300","Logging","1133",106.4
1952,"10","Mining and logging","10113300","Logging","1133",98.5
1953,"10","Mining and logging","10113300","Logging","1133",96.9
1954,"10","Mining and logging","10113300","Logging","1133",90.9
1955,"10","Mining and logging","10113300","Logging","1133",92.5
1956,"10","Mining and logging","10113300","Logging","1133",99.8
1957,"10","Mining and logging","10113300","Logging","1133",86.3
1958,"10","Mining and logging","10113300","Logging","1133",87.2
1959,"10","Mining and logging","10113300","Logging","1133",94.4
1960,"10","Mining and logging","10113300","Logging","1133",91
1961,"10","Mining and logging","10113300","Logging","1133",84.6
1962,"10","Mining and logging","10113300","Logging","1133",83.6
1963,"10","Mining and logging","10113300","Logging","1133",83.5
1964,"10","Mining and logging","10113300","Logging","1133",87.7
1965,"10","Mining and logging","10113300","Logging","1133",84.2
1966,"10","Mining and logging","10113300","Logging","1133",81.1
1967,"10","Mining and logging","10113300","Logging","1133",81.1
1968,"10","Mining and logging","10113300","Logging","1133",79.1
1969,"10","Mining and logging","10113300","Logging","1133",78.4
1970,"10","Mining and logging","10113300","Logging","1133",70.3
1971,"10","Mining and logging","10113300","Logging","1133",69.1
1972,"10","Mining and logging","10113300","Logging","1133",69
1973,"10","Mining and logging","10113300","Logging","1133",75.9
1974,"10","Mining and logging","10113300","Logging","1133",80.7
1975,"10","Mining and logging","10113300","Logging","1133",73.5
1976,"10","Mining and logging","10113300","Logging","1133",81.5
1977,"10","Mining and logging","10113300","Logging","1133",84.2
1978,"10","Mining and logging","10113300","Logging","1133",84.8
1979,"10","Mining and logging","10113300","Logging","1133",88.5
